ID,Name,Stars,Forks,Size,"Programming Language","Default Branch",Topics,"Open Issues",License,"Repo URL",Owner,Website,"Created At","Updated At"
18609427,tc39/ecma262,15196,1307,547959,HTML,main,"ecmascript, javascript",458,Other,https://github.com/tc39/ecma262,https://github.com/tc39,https://tc39.es/ecma262/,2014-04-09T19:04:33Z,2025-02-25T00:59:36Z
88214511,edent/SuperTinyIcons,14843,914,10692,HTML,master,"hacktoberfest, logo, social-media, svg, svg-icons, tiny-social-icons",44,"MIT License",https://github.com/edent/SuperTinyIcons,https://github.com/edent,,2017-04-13T23:28:34Z,2025-02-24T15:05:00Z
246128823,gustavoguanabara/html-css,14450,3482,286175,HTML,master,"css3, curso, cursoemvideo, gratis, gustavoguanabara, html5",460,"MIT License",https://github.com/gustavoguanabara/html-css,https://github.com/gustavoguanabara,https://gustavoguanabara.github.io/html-css/,2020-03-09T19:54:04Z,2025-02-25T00:16:08Z
157813180,microsoft/ai-edu,13757,2949,989499,HTML,master,,95,Other,https://github.com/microsoft/ai-edu,https://github.com/microsoft,https://microsoft.github.io/ai-edu/,2018-11-16T04:36:22Z,2025-02-24T14:34:11Z
15340074,leemunroe/responsive-html-email-template,13458,4421,100,HTML,master,"email, email-marketing, email-template, email-templates, html, html-emails, responsive",8,"MIT License",https://github.com/leemunroe/responsive-html-email-template,https://github.com/leemunroe,http://leemunroe.github.io/responsive-html-email-template/email.html,2013-12-20T14:21:13Z,2025-02-24T21:50:03Z
124365799,federico-busato/Modern-CPP-Programming,12874,872,551265,HTML,master,"c-plus-plus, code-quality, compilers, course, courses, cpp, cpp-programming, cpp03, cpp11, cpp14, cpp17, cpp20, cpp23, cpp26, debugging, optimization, programming, template",2,,https://github.com/federico-busato/Modern-CPP-Programming,https://github.com/federico-busato,https://federico-busato.github.io/Modern-CPP-Programming/,2018-03-08T09:06:52Z,2025-02-25T00:50:59Z
1300192,octocat/Spoon-Knife,12849,149342,2,HTML,main,,18630,,https://github.com/octocat/Spoon-Knife,https://github.com/octocat,,2011-01-27T19:30:43Z,2025-02-24T20:03:42Z
10267810,mmistakes/minimal-mistakes,12710,26127,47533,HTML,master,"algolia, algolia-search, github-pages, jekyll, jekyll-theme, lunr, ruby-gem, theme",30,"MIT License",https://github.com/mmistakes/minimal-mistakes,https://github.com/mmistakes,https://mmistakes.github.io/minimal-mistakes/,2013-05-24T14:13:30Z,2025-02-24T21:53:07Z
488804911,windmill-labs/windmill,12165,614,263203,HTML,main,"low-code, open-source, platform, postgresql, python, self-hostable, typescript",374,Other,https://github.com/windmill-labs/windmill,https://github.com/windmill-labs,https://windmill.dev,2022-05-05T02:21:17Z,2025-02-25T01:53:35Z
223953992,htr-tech/zphisher,12047,4198,29374,HTML,master,"htr-tech, phisher, phishing, phishing-attacks, phishing-pages, zphisher",250,"GNU General Public License v3.0",https://github.com/htr-tech/zphisher,https://github.com/htr-tech,,2019-11-25T13:22:20Z,2025-02-25T01:03:39Z
22765472,keen/dashboards,11035,1425,2240,HTML,master,"analytics, analytics-dashboard, charts, css-grid, css-grid-layout, css-grid-template, dashboard, grid, keen-io, templates",6,"MIT License",https://github.com/keen/dashboards,https://github.com/keen,http://keen.github.io/dashboards/,2014-08-08T17:16:17Z,2025-02-21T11:46:00Z
