"Function Name",Count
twentynineteen_get_icon_svg,21
twentytwenty_generate_css,21
multiselect,21
mysql_list_dbs,21
getphpcfg,21
get_cwd,21
get_resource,21
FetchURL,21
__x,21
base_url,21
phutil_safe_html,21
phutil_escape_uri,21
phutil_console_confirm,21
encrypt,20
wp_reset_vars,20
wp_is_post_autosave,20
wp_get_post_revisions,20
show_message,20
wp_should_upgrade_global_tables,20
get_ancestors,20
wp_match_mime_types,20
get_children,20
wp_validate_redirect,20
get_background_image,20
feed_content_type,20
is_year,20
get_feed_link,20
create_function,20
wp_head,20
wp_footer,20
sqlsrv_query,20
mysql_field_type,20
wc_format_coupon_code,20
wc_empty_cart,20
wc_deprecated_argument,20
rest_sanitize_value_from_schema,20
pest,20
is_php_version_compatible,20
wp_cache_get_last_changed,20
twenty_twenty_one_get_icon_svg,20
when,20
bold,20
page_footer,20
doc_link,20
loginpage,20
show,20
ListFiles,20
red,20
isAvailable,20
database_configuration_dir,20
execx,20
phutil_hashes_are_identical,20
wp_revisions_enabled,19
get_file,19
get_preview_post_link,19
username_exists,19
remove_user_from_blog,19
wp_get_update_data,19
is_nav_menu,19
sanitize_term,19
sanitize_post_field,19
wp_parse_str,19
wp_get_image_editor,19
wp_mkdir_p,19
update_meta_cache,19
get_post_comments_feed_link,19
wp_kses_allowed_html,19
wp_get_attachment_link,19
wp_list_comments,19
get_the_modified_date,19
yourls_n,19
sqlsrv_errors,19
oci_close,19
update_term_meta,19
wc_notice_count,19
wc_get_base_location,19
is_shop,19
wc_shipping_enabled,19
read_big_endian,19
mix,19
textarea,19
dvwaCurrentUser,19
GetLastError,19
do_footer,19
relpathtoabspath,19
refreshSession,19
ccc,18
cache,18
load_default_textdomain,18
flush_rewrite_rules,18
plugins_api,18
normalize_whitespace,18
wp_can_install_language_pack,18
edit_post,18
add_user_to_blog,18
get_editable_roles,18
wp_count_terms,18
get_edit_user_link,18
_make_cat_compat,18
get_comment_author_link,18
wp_customize_url,18
wp_get_post_categories,18
translate_nooped_plural,18
_nx_noop,18
